group	human_source	cage_id	mouse_id	mouse_sex	mouse_DOB	mouse_age_d	mouse_age_wk	day	cdiff_strain	date	sample_type	cdiff_cfu	nextDayCFU_colon	nextDayCFU_any	weight_grams	percent_weightLoss	file
CON2-2328-D5	DA00369	CON2	2328	f	5/18/12	65	9.29	5	458	7/22/12	stool	4000000	10700000	10700000	20	100.503	20120717_GF_cfu.xlsx
CON2-2328-D6	DA00369	CON2	2328	f	5/18/12	66	9.43	6	458	7/23/12	stool	10700000	0	0	21.5	108.040	20120717_GF_cfu.xlsx
CON2-2328-D7	DA00369	CON2	2328	f	5/18/12	67	9.57	7	458	7/24/12	stool	0	10000	10000	20	100.503	20120717_GF_cfu.xlsx
CON2-2328-D8	DA00369	CON2	2328	f	5/18/12	68	9.71	8	458	7/25/12	stool	10000	51000000	51000000	19.5	97.990	20120717_GF_cfu.xlsx
CON2-2328-D9	DA00369	CON2	2328	f	5/18/12	69	9.86	9	458	7/26/12	stool	51000000	10300000	10300000	19	95.477	20120717_GF_cfu.xlsx
CON2-2376-D0	DA00369	CON2	2376	f	5/18/12	60	8.57	0	458	7/17/12	stool	0	NA	NA	21.8	100.000	20120717_GF_cfu.xlsx
CON2-2376-D1	DA00369	CON2	2376	f	5/18/12	61	8.71	1	458	7/18/12	stool	NA	0	0	21	96.330	20120717_GF_cfu.xlsx
CON2-2376-D10	DA00369	CON2	2376	f	5/18/12	70	10.00	10	458	7/27/12	stool	2700000	NA	NA	20	91.743	20120717_GF_cfu.xlsx
CON2-2376-D2	DA00369	CON2	2376	f	5/18/12	62	8.86	2	458	7/19/12	stool	0	1200000	1200000	22.1	101.376	20120717_GF_cfu.xlsx
CON2-2376-D3	DA00369	CON2	2376	f	5/18/12	63	9.00	3	458	7/20/12	stool	1200000	0	0	20.4	93.578	20120717_GF_cfu.xlsx
CON2-2376-D4	DA00369	CON2	2376	f	5/18/12	64	9.14	4	458	7/21/12	stool	0	0	0	20	91.743	20120717_GF_cfu.xlsx
CON2-2376-D5	DA00369	CON2	2376	f	5/18/12	65	9.29	5	458	7/22/12	stool	0	1000	1000	20.5	94.037	20120717_GF_cfu.xlsx
CON2-2376-D6	DA00369	CON2	2376	f	5/18/12	66	9.43	6	458	7/23/12	stool	1000	NA	NA	20	91.743	20120717_GF_cfu.xlsx
CON2-2376-D7	DA00369	CON2	2376	f	5/18/12	67	9.57	7	458	7/24/12	stool	NA	2000000	2000000	20.5	94.037	20120717_GF_cfu.xlsx
CON2-2376-D8	DA00369	CON2	2376	f	5/18/12	68	9.71	8	458	7/25/12	stool	2000000	220000000	220000000	21	96.330	20120717_GF_cfu.xlsx
CON2-2376-D9	DA00369	CON2	2376	f	5/18/12	69	9.86	9	458	7/26/12	stool	220000000	2700000	2700000	20.3	93.119	20120717_GF_cfu.xlsx
CON2-NT-D0	DA00369	CON2	NT	f	6/1/12	46	6.57	0	458	7/17/12	stool	0	0	0	20	100.00	20120717_GF_cfu.xlsx
CON2-NT-D1	DA00369	CON2	NT	f	6/1/12	47	6.71	1	458	7/18/12	stool	0	0	0	20	100.00	20120717_GF_cfu.xlsx
CON2-NT-D10	DA00369	CON2	NT	f	6/1/12	56	8.00	10	458	7/27/12	stool	1500000	NA	NA	17.7	88.50	20120717_GF_cfu.xlsx
CON2-NT-D2	DA00369	CON2	NT	f	6/1/12	48	6.86	2	458	7/19/12	stool	0	600000	600000	21.3	106.50	20120717_GF_cfu.xlsx
CON2-NT-D3	DA00369	CON2	NT	f	6/1/12	49	7.00	3	458	7/20/12	stool	600000	0	0	20	100.00	20120717_GF_cfu.xlsx
CON2-NT-D4	DA00369	CON2	NT	f	6/1/12	50	7.14	4	458	7/21/12	stool	0	0	0	18	90.00	20120717_GF_cfu.xlsx
CON2-NT-D5	DA00369	CON2	NT	f	6/1/12	51	7.29	5	458	7/22/12	stool	0	0	0	19	95.00	20120717_GF_cfu.xlsx
CON2-NT-D6	DA00369	CON2	NT	f	6/1/12	52	7.43	6	458	7/23/12	stool	0	100000	100000	20.2	101.00	20120717_GF_cfu.xlsx
CON2-NT-D7	DA00369	CON2	NT	f	6/1/12	53	7.57	7	458	7/24/12	stool	100000	NA	NA	19.1	95.50	20120717_GF_cfu.xlsx
CON2-NT-D8	DA00369	CON2	NT	f	6/1/12	54	7.71	8	458	7/25/12	stool	NA	6500000	6500000	21	105.00	20120717_GF_cfu.xlsx
CON2-NT-D9	DA00369	CON2	NT	f	6/1/12	55	7.86	9	458	7/26/12	stool	6500000	1500000	1500000	19.8	99.00	20120717_GF_cfu.xlsx
CON3-2742-D0	DA00430	CON3	2742	f	6/1/12	46	6.57	0	299	7/17/12	stool	0	0	0	18.3	100	20120717_GF_cfu.xlsx
CON3-2742-D1	DA00430	CON3	2742	f	6/1/12	47	6.71	1	299	7/18/12	stool	0	0	0	17.5	95.6284153	20120717_GF_cfu.xlsx
CON3-2742-D10	DA00430	CON3	2742	f	6/1/12	56	8.00	10	299	7/27/12	stool	40500000	NA	NA	19	103.8251366	20120717_GF_cfu.xlsx
CON3-2742-D2	DA00430	CON3	2742	f	6/1/12	48	6.86	2	299	7/19/12	stool	0	110000	110000	17.9	97.81420765	20120717_GF_cfu.xlsx
CON3-2742-D3	DA00430	CON3	2742	f	6/1/12	49	7.00	3	299	7/20/12	stool	110000	120000	120000	18	98.36065574	20120717_GF_cfu.xlsx
CON3-2742-D4	DA00430	CON3	2742	f	6/1/12	50	7.14	4	299	7/21/12	stool	120000	170000	170000	18	98.36065574	20120717_GF_cfu.xlsx
CON3-2742-D5	DA00430	CON3	2742	f	6/1/12	51	7.29	5	299	7/22/12	stool	170000	8300000	8300000	17	92.89617486	20120717_GF_cfu.xlsx
CON3-2742-D6	DA00430	CON3	2742	f	6/1/12	52	7.43	6	299	7/23/12	stool	8300000	390000	390000	20	109.2896175	20120717_GF_cfu.xlsx
CON3-2742-D7	DA00430	CON3	2742	f	6/1/12	53	7.57	7	299	7/24/12	stool	390000	19500000	19500000	18.2	99.45355191	20120717_GF_cfu.xlsx
CON3-2742-D8	DA00430	CON3	2742	f	6/1/12	54	7.71	8	299	7/25/12	stool	19500000	5000000	5000000	18.3	100	20120717_GF_cfu.xlsx
CON3-2742-D9	DA00430	CON3	2742	f	6/1/12	55	7.86	9	299	7/26/12	stool	5000000	40500000	40500000	19	103.8251366	20120717_GF_cfu.xlsx
CON3-NT-D0	DA00430	CON3	NT	f	6/1/12	46	6.57	0	299	7/17/12	stool	0	0	0	21.5	100	20120717_GF_cfu.xlsx
CON3-NT-D1	DA00430	CON3	NT	f	6/1/12	47	6.71	1	299	7/18/12	stool	0	0	0	20	93.02325581	20120717_GF_cfu.xlsx
CON3-NT-D10	DA00430	CON3	NT	f	6/1/12	56	8.00	10	299	7/27/12	stool	8600000	NA	NA	21.2	98.60465116	20120717_GF_cfu.xlsx
CON3-NT-D2	DA00430	CON3	NT	f	6/1/12	48	6.86	2	299	7/19/12	stool	0	30000	30000	20.5	95.34883721	20120717_GF_cfu.xlsx
CON3-NT-D3	DA00430	CON3	NT	f	6/1/12	49	7.00	3	299	7/20/12	stool	30000	17000	17000	19.1	88.8372093	20120717_GF_cfu.xlsx
CON3-NT-D4	DA00430	CON3	NT	f	6/1/12	50	7.14	4	299	7/21/12	stool	17000	460000	460000	19	88.37209302	20120717_GF_cfu.xlsx
CON3-NT-D5	DA00430	CON3	NT	f	6/1/12	51	7.29	5	299	7/22/12	stool	460000	750000	750000	19	88.37209302	20120717_GF_cfu.xlsx
CON3-NT-D6	DA00430	CON3	NT	f	6/1/12	52	7.43	6	299	7/23/12	stool	750000	300000	300000	21.5	100	20120717_GF_cfu.xlsx
CON3-NT-D7	DA00430	CON3	NT	f	6/1/12	53	7.57	7	299	7/24/12	stool	300000	NA	NA	21.5	100	20120717_GF_cfu.xlsx
CON3-NT-D8	DA00430	CON3	NT	f	6/1/12	54	7.71	8	299	7/25/12	stool	NA	80000000	80000000	22.5	104.6511628	20120717_GF_cfu.xlsx
CON3-NT-D9	DA00430	CON3	NT	f	6/1/12	55	7.86	9	299	7/26/12	stool	80000000	8600000	8600000	20.3	94.41860465	20120717_GF_cfu.xlsx
CON3-TAIL-D0	DA00430	CON3	TAIL	f	6/1/12	46	6.57	0	299	7/17/12	stool	0	0	0	20.2	100	20120717_GF_cfu.xlsx
CON3-TAIL-D1	DA00430	CON3	TAIL	f	6/1/12	47	6.71	1	299	7/18/12	stool	0	0	0	20	99.00990099	20120717_GF_cfu.xlsx
CON3-TAIL-D10	DA00430	CON3	TAIL	f	6/1/12	56	8.00	10	299	7/27/12	stool	3040000	NA	NA	20	99.00990099	20120717_GF_cfu.xlsx
CON3-TAIL-D2	DA00430	CON3	TAIL	f	6/1/12	48	6.86	2	299	7/19/12	stool	0	0	0	19.5	96.53465347	20120717_GF_cfu.xlsx
CON3-TAIL-D3	DA00430	CON3	TAIL	f	6/1/12	49	7.00	3	299	7/20/12	stool	0	60000	60000	19.5	96.53465347	20120717_GF_cfu.xlsx
CON3-TAIL-D4	DA00430	CON3	TAIL	f	6/1/12	50	7.14	4	299	7/21/12	stool	60000	600000	600000	20	99.00990099	20120717_GF_cfu.xlsx
CON3-TAIL-D5	DA00430	CON3	TAIL	f	6/1/12	51	7.29	5	299	7/22/12	stool	600000	100000	100000	19	94.05940594	20120717_GF_cfu.xlsx
CON3-TAIL-D6	DA00430	CON3	TAIL	f	6/1/12	52	7.43	6	299	7/23/12	stool	100000	970000	970000	20	99.00990099	20120717_GF_cfu.xlsx
CON3-TAIL-D7	DA00430	CON3	TAIL	f	6/1/12	53	7.57	7	299	7/24/12	stool	970000	25800000	25800000	19.5	96.53465347	20120717_GF_cfu.xlsx
CON3-TAIL-D8	DA00430	CON3	TAIL	f	6/1/12	54	7.71	8	299	7/25/12	stool	25800000	92000000	92000000	20.4	100.990099	20120717_GF_cfu.xlsx
CON3-TAIL-D9	DA00430	CON3	TAIL	f	6/1/12	55	7.86	9	299	7/26/12	stool	92000000	3040000	3040000	19.5	96.53465347	20120717_GF_cfu.xlsx
CONA-2953-D0	DA00431	CONA	2953	m	2/24/12	95	13.57	0	431	5/29/12	stool	0	32000000	32000000	28.5	100	20120529_infectionCFS_round1.xls
CONA-2953-D1	DA00431	CONA	2953	m	2/24/12	96	13.71	1	431	5/30/12	stool	32000000	NA	13200000	26	91.22807018	20120529_infectionCFS_round1.xls
CONA-2953C-D2	DA00431	CONA	2953	m	2/24/12	97	13.86	2	431	5/31/12	cecum	13200000	NA	NA	22	77.19298246	20120529_infectionCFS_round1.xls
CONA-2955-D0	DA00431	CONA	2955	m	2/24/12	95	13.57	0	431	5/29/12	stool	0	14000000	14000000	28.6	100	20120529_infectionCFS_round1.xls
CONA-2955-D1	DA00431	CONA	2955	m	2/24/12	96	13.71	1	431	5/30/12	stool	14000000	NA	102500000	24.6	86.01398601	20120529_infectionCFS_round1.xls
CONA-2955C-D2	DA00431	CONA	2955	m	2/24/12	97	13.86	2	431	5/31/12	cecum	102500000	NA	NA	20.8	72.72727273	20120529_infectionCFS_round1.xls
CONA-NT-D0	DA00431	CONA	NT	m	2/27/12	92	13.14	0	431	5/29/12	stool	0	19000000	19000000	29.5	100	20120529_infectionCFS_round1.xls
CONA-NT-D1	DA00431	CONA	NT	m	2/27/12	93	13.29	1	431	5/30/12	stool	19000000	NA	26000000	25	84.74576271	20120529_infectionCFS_round1.xls
CONA-NTC-D2	DA00431	CONA	NT	m	2/27/12	94	13.43	2	431	5/31/12	cecum	26000000	NA	NA	21	71.18644068	20120529_infectionCFS_round1.xls
D-507-D0	DA00581	D	507	m	12/26/13	68	9.71	0	431	3/4/14	stool	0	320000	320000	24.7	100	20140304_GF_cfu.xlsx
D-507-D1	DA00581	D	507	m	12/26/13	69	9.86	1	431	3/5/14	stool	320000	10000	10000	25.1	101.6194332	20140304_GF_cfu.xlsx
D-507-D10	DA00581	D	507	m	12/26/13	78	11.14	10	431	3/14/14	stool	100000	NA	NA	26.8	108.5020243	20140304_GF_cfu.xlsx
D-507-D2	DA00581	D	507	m	12/26/13	70	10.00	2	431	3/6/14	stool	10000	1030000	1030000	26.3	106.4777328	20140304_GF_cfu.xlsx
D-507-D3	DA00581	D	507	m	12/26/13	71	10.14	3	431	3/7/14	stool	1030000	320000	320000	26	105.2631579	20140304_GF_cfu.xlsx
D-507-D4	DA00581	D	507	m	12/26/13	72	10.29	4	431	3/8/14	stool	320000	160000	160000	26.9	108.9068826	20140304_GF_cfu.xlsx
D-507-D5	DA00581	D	507	m	12/26/13	73	10.43	5	431	3/9/14	stool	160000	25000	25000	26	105.2631579	20140304_GF_cfu.xlsx
D-507-D6	DA00581	D	507	m	12/26/13	74	10.57	6	431	3/10/14	stool	25000	128000	128000	26	105.2631579	20140304_GF_cfu.xlsx
D-507-D7	DA00581	D	507	m	12/26/13	75	10.71	7	431	3/11/14	stool	128000	178000	178000	27.5	111.3360324	20140304_GF_cfu.xlsx
D-507-D8	DA00581	D	507	m	12/26/13	76	10.86	8	431	3/12/14	stool	178000	110000	110000	26.5	107.2874494	20140304_GF_cfu.xlsx
D-507-D9	DA00581	D	507	m	12/26/13	77	11.00	9	431	3/13/14	stool	110000	100000	100000	26.3	106.4777328	20140304_GF_cfu.xlsx
D-527-D0	DA00581	D	527	m	12/26/13	68	9.71	0	431	3/4/14	stool	0	860000	860000	24.3	100	20140304_GF_cfu.xlsx
D-527-D1	DA00581	D	527	m	12/26/13	69	9.86	1	431	3/5/14	stool	860000	100000	100000	22.7	93.41563786	20140304_GF_cfu.xlsx
D-527-D10	DA00581	D	527	m	12/26/13	78	11.14	10	431	3/14/14	stool	185000	NA	NA	24.4	100.4115226	20140304_GF_cfu.xlsx
D-527-D2	DA00581	D	527	m	12/26/13	70	10.00	2	431	3/6/14	stool	100000	270000	270000	25	102.8806584	20140304_GF_cfu.xlsx
D-527-D3	DA00581	D	527	m	12/26/13	71	10.14	3	431	3/7/14	stool	270000	370000	370000	24.4	100.4115226	20140304_GF_cfu.xlsx
D-527-D4	DA00581	D	527	m	12/26/13	72	10.29	4	431	3/8/14	stool	370000	320000	320000	24.8	102.0576132	20140304_GF_cfu.xlsx
D-527-D5	DA00581	D	527	m	12/26/13	73	10.43	5	431	3/9/14	stool	320000	101000	101000	24.5	100.8230453	20140304_GF_cfu.xlsx
D-527-D6	DA00581	D	527	m	12/26/13	74	10.57	6	431	3/10/14	stool	101000	168000	168000	24.5	100.8230453	20140304_GF_cfu.xlsx
D-527-D7	DA00581	D	527	m	12/26/13	75	10.71	7	431	3/11/14	stool	168000	202000	202000	25.3	104.1152263	20140304_GF_cfu.xlsx
D-527-D8	DA00581	D	527	m	12/26/13	76	10.86	8	431	3/12/14	stool	202000	105000	105000	24.1	99.17695473	20140304_GF_cfu.xlsx
D-527-D9	DA00581	D	527	m	12/26/13	77	11.00	9	431	3/13/14	stool	105000	185000	185000	24.4	100.4115226	20140304_GF_cfu.xlsx
D-540-D0	DA00581	D	540	m	12/26/13	68	9.71	0	431	3/4/14	stool	0	680000	680000	25.3	100	20140304_GF_cfu.xlsx
D-540-D1	DA00581	D	540	m	12/26/13	69	9.86	1	431	3/5/14	stool	680000	70000	70000	23.1	91.30434783	20140304_GF_cfu.xlsx
D-540-D10	DA00581	D	540	m	12/26/13	78	11.14	10	431	3/14/14	stool	850000	NA	NA	24.8	98.02371542	20140304_GF_cfu.xlsx
D-540-D2	DA00581	D	540	m	12/26/13	70	10.00	2	431	3/6/14	stool	70000	3300000	3300000	24.4	96.44268775	20140304_GF_cfu.xlsx
D-540-D3	DA00581	D	540	m	12/26/13	71	10.14	3	431	3/7/14	stool	3300000	960000	960000	24.4	96.44268775	20140304_GF_cfu.xlsx
D-540-D4	DA00581	D	540	m	12/26/13	72	10.29	4	431	3/8/14	stool	960000	710000	710000	24.6	97.23320158	20140304_GF_cfu.xlsx
D-540-D5	DA00581	D	540	m	12/26/13	73	10.43	5	431	3/9/14	stool	710000	400000	400000	25	98.81422925	20140304_GF_cfu.xlsx
D-540-D6	DA00581	D	540	m	12/26/13	74	10.57	6	431	3/10/14	stool	400000	483000	483000	25	98.81422925	20140304_GF_cfu.xlsx
D-540-D7	DA00581	D	540	m	12/26/13	75	10.71	7	431	3/11/14	stool	483000	760000	760000	26	102.7667984	20140304_GF_cfu.xlsx
D-540-D8	DA00581	D	540	m	12/26/13	76	10.86	8	431	3/12/14	stool	760000	840000	840000	24.8	98.02371542	20140304_GF_cfu.xlsx
D-540-D9	DA00581	D	540	m	12/26/13	77	11.00	9	431	3/13/14	stool	840000	850000	850000	25.1	99.20948617	20140304_GF_cfu.xlsx
DA268	DA00268	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
DA339	DA00339	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
DA375	DA00375	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
DA581	DA00581	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
DA6	DA00006	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
IN1-2026-D0	DA00884	IN1	2026	f	5/18/12	46	6.57	0	431	7/3/12	stool	NA	3000	3000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN1-2026-D1	DA00884	IN1	2026	f	5/18/12	47	6.71	1	431	7/4/12	stool	3000	NA	NA	16.5	100	20120703_infectionCFUS_round2.xlsx
IN1-2026-D2	DA00884	IN1	2026	f	5/18/12	48	6.86	2	431	7/5/12	stool	NA	NA	52000000	13.7	83.03030303	20120703_infectionCFUS_round2.xlsx
IN1-2026C-D3	DA00884	IN1	2026	f	5/18/12	49	7.00	3	431	7/6/12	cecum	52000000	NA	NA	12	72.72727273	20120703_infectionCFUS_round2.xlsx
IN1-2054-D0	DA00884	IN1	2054	f	5/18/12	46	6.57	0	431	7/3/12	stool	NA	25400000	25400000	20.9	100	20120703_infectionCFUS_round2.xlsx
IN1-2054-D1	DA00884	IN1	2054	f	5/18/12	47	6.71	1	431	7/4/12	stool	25400000	NA	NA	20.2	96.6507177	20120703_infectionCFUS_round2.xlsx
IN1-2054-D2	DA00884	IN1	2054	f	5/18/12	48	6.86	2	431	7/5/12	stool	NA	NA	141000000	16.9	80.86124402	20120703_infectionCFUS_round2.xlsx
IN1-2054C-D3	DA00884	IN1	2054	f	5/18/12	49	7.00	3	431	7/6/12	cecum	141000000	NA	NA	16	76.55502392	20120703_infectionCFUS_round2.xlsx
IN1-2084-D0	DA00884	IN1	2084	f	5/18/12	46	6.57	0	431	7/3/12	stool	NA	360000000	360000000	16.6	100	20120703_infectionCFUS_round2.xlsx
IN1-2084-D1	DA00884	IN1	2084	f	5/18/12	47	6.71	1	431	7/4/12	stool	360000000	NA	NA	17.5	105.4216867	20120703_infectionCFUS_round2.xlsx
IN1-2084-D2	DA00884	IN1	2084	f	5/18/12	48	6.86	2	431	7/5/12	stool	NA	NA	325000000	14.5	87.34939759	20120703_infectionCFUS_round2.xlsx
IN1-2084C-D3	DA00884	IN1	2084	f	5/18/12	49	7.00	3	431	7/6/12	cecum	325000000	NA	NA	13.5	81.3253012	20120703_infectionCFUS_round2.xlsx
IN2-2613-D0	DA01134	IN2	2613	f	5/18/12	46	6.57	0	431	7/3/12	stool	NA	100000	100000	18	100	20120703_infectionCFUS_round2.xlsx
IN2-2613-D1	DA01134	IN2	2613	f	5/18/12	47	6.71	1	431	7/4/12	stool	100000	2300000	2300000	17.6	97.77777778	20120703_infectionCFUS_round2.xlsx
IN2-2613-D10	DA01134	IN2	2613	f	5/18/12	56	8.00	10	431	7/13/12	stool	112000000	NA	NA	16.7	92.77777778	20120703_infectionCFUS_round2.xlsx
IN2-2613-D2	DA01134	IN2	2613	f	5/18/12	48	6.86	2	431	7/5/12	stool	2300000	17900000	17900000	18	100	20120703_infectionCFUS_round2.xlsx
IN2-2613-D3	DA01134	IN2	2613	f	5/18/12	49	7.00	3	431	7/6/12	stool	17900000	133000000	133000000	19.5	108.3333333	20120703_infectionCFUS_round2.xlsx
IN2-2613-D4	DA01134	IN2	2613	f	5/18/12	50	7.14	4	431	7/7/12	stool	133000000	1200000	1200000	16.5	91.66666667	20120703_infectionCFUS_round2.xlsx
IN2-2613-D5	DA01134	IN2	2613	f	5/18/12	51	7.29	5	431	7/8/12	stool	1200000	14000000	14000000	16.5	91.66666667	20120703_infectionCFUS_round2.xlsx
IN2-2613-D6	DA01134	IN2	2613	f	5/18/12	52	7.43	6	431	7/9/12	stool	14000000	235000000	235000000	16.8	93.33333333	20120703_infectionCFUS_round2.xlsx
IN2-2613-D7	DA01134	IN2	2613	f	5/18/12	53	7.57	7	431	7/10/12	stool	235000000	245500000	245500000	16.9	93.88888889	20120703_infectionCFUS_round2.xlsx
IN2-2613-D8	DA01134	IN2	2613	f	5/18/12	54	7.71	8	431	7/11/12	stool	245500000	201000000	201000000	16.7	92.77777778	20120703_infectionCFUS_round2.xlsx
IN2-2613-D9	DA01134	IN2	2613	f	5/18/12	55	7.86	9	431	7/12/12	stool	201000000	112000000	112000000	16.5	91.66666667	20120703_infectionCFUS_round2.xlsx
IN2-2613C-D10	DA01134	IN2	2613	f	5/18/12	56	8.00	10	431	7/13/12	cecum	1150000000	NA	NA	16.7	92.77777778	20120703_infectionCFUS_round2.xlsx
IN2-2629-D0	DA01134	IN2	2629	f	5/18/12	46	6.57	0	431	7/3/12	stool	NA	10000	10000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN2-2629-D1	DA01134	IN2	2629	f	5/18/12	47	6.71	1	431	7/4/12	stool	10000	8700	8700	17.5	106.0606061	20120703_infectionCFUS_round2.xlsx
IN2-2629-D10	DA01134	IN2	2629	f	5/18/12	56	8.00	10	431	7/13/12	stool	450000000	NA	NA	16.6	100.6060606	20120703_infectionCFUS_round2.xlsx
IN2-2629-D2	DA01134	IN2	2629	f	5/18/12	48	6.86	2	431	7/5/12	stool	8700	36200000	36200000	17.6	106.6666667	20120703_infectionCFUS_round2.xlsx
IN2-2629-D3	DA01134	IN2	2629	f	5/18/12	49	7.00	3	431	7/6/12	stool	36200000	176000000	176000000	19.3	116.969697	20120703_infectionCFUS_round2.xlsx
IN2-2629-D4	DA01134	IN2	2629	f	5/18/12	50	7.14	4	431	7/7/12	stool	176000000	160000000	160000000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN2-2629-D5	DA01134	IN2	2629	f	5/18/12	51	7.29	5	431	7/8/12	stool	160000000	19450000	19450000	16	96.96969697	20120703_infectionCFUS_round2.xlsx
IN2-2629-D6	DA01134	IN2	2629	f	5/18/12	52	7.43	6	431	7/9/12	stool	19450000	189000000	189000000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN2-2629-D7	DA01134	IN2	2629	f	5/18/12	53	7.57	7	431	7/10/12	stool	189000000	55250000	55250000	16.4	99.39393939	20120703_infectionCFUS_round2.xlsx
IN2-2629-D8	DA01134	IN2	2629	f	5/18/12	54	7.71	8	431	7/11/12	stool	55250000	174000000	174000000	16	96.96969697	20120703_infectionCFUS_round2.xlsx
IN2-2629-D9	DA01134	IN2	2629	f	5/18/12	55	7.86	9	431	7/12/12	stool	174000000	450000000	450000000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN2-2629C-D10	DA01134	IN2	2629	f	5/18/12	56	8.00	10	431	7/13/12	cecum	220000000	NA	NA	16.6	100.6060606	20120703_infectionCFUS_round2.xlsx
IN2-2673-D0	DA01134	IN2	2673	f	5/18/12	46	6.57	0	431	7/3/12	stool	NA	100000	100000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN2-2673-D1	DA01134	IN2	2673	f	5/18/12	47	6.71	1	431	7/4/12	stool	100000	10500000	10500000	19	115.1515152	20120703_infectionCFUS_round2.xlsx
IN2-2673-D10	DA01134	IN2	2673	f	5/18/12	56	8.00	10	431	7/13/12	stool	2450000000	NA	NA	16.6	100.6060606	20120703_infectionCFUS_round2.xlsx
IN2-2673-D2	DA01134	IN2	2673	f	5/18/12	48	6.86	2	431	7/5/12	stool	10500000	19600000	19600000	17.6	106.6666667	20120703_infectionCFUS_round2.xlsx
IN2-2673-D3	DA01134	IN2	2673	f	5/18/12	49	7.00	3	431	7/6/12	stool	19600000	1390000000	1390000000	18.6	112.7272727	20120703_infectionCFUS_round2.xlsx
IN2-2673-D4	DA01134	IN2	2673	f	5/18/12	50	7.14	4	431	7/7/12	stool	1390000000	145000000	145000000	17	103.030303	20120703_infectionCFUS_round2.xlsx
IN2-2673-D5	DA01134	IN2	2673	f	5/18/12	51	7.29	5	431	7/8/12	stool	145000000	16250000	16250000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN2-2673-D6	DA01134	IN2	2673	f	5/18/12	52	7.43	6	431	7/9/12	stool	16250000	1100000000	1100000000	17.1	103.6363636	20120703_infectionCFUS_round2.xlsx
IN2-2673-D7	DA01134	IN2	2673	f	5/18/12	53	7.57	7	431	7/10/12	stool	1100000000	153500000	153500000	16.4	99.39393939	20120703_infectionCFUS_round2.xlsx
IN2-2673-D8	DA01134	IN2	2673	f	5/18/12	54	7.71	8	431	7/11/12	stool	153500000	169500000	169500000	15.5	93.93939394	20120703_infectionCFUS_round2.xlsx
IN2-2673-D9	DA01134	IN2	2673	f	5/18/12	55	7.86	9	431	7/12/12	stool	169500000	2450000000	2450000000	16.5	100	20120703_infectionCFUS_round2.xlsx
IN2-2673C-D10	DA01134	IN2	2673	f	5/18/12	56	8.00	10	431	7/13/12	cecum	320000000	NA	NA	16.6	100.6060606	20120703_infectionCFUS_round2.xlsx
IN3-2318-D0	DA00953	IN3	2318	f	5/18/12	60	8.57	0	431	7/17/12	stool	0	0	0	23.8	100	20120717_GF_cfu.xlsx
IN3-2318-D1	DA00953	IN3	2318	f	5/18/12	61	8.71	1	431	7/18/12	stool	0	100000	100000	21	88.23529412	20120717_GF_cfu.xlsx
IN3-2318-D10	DA00953	IN3	2318	f	5/18/12	70	10.00	10	431	7/27/12	stool	8000000	NA	NA	21.2	89.07563025	20120717_GF_cfu.xlsx
IN3-2318-D2	DA00953	IN3	2318	f	5/18/12	62	8.86	2	431	7/19/12	stool	100000	0	0	21	88.23529412	20120717_GF_cfu.xlsx
IN3-2318-D3	DA00953	IN3	2318	f	5/18/12	63	9.00	3	431	7/20/12	stool	0	NA	NA	21.5	90.33613445	20120717_GF_cfu.xlsx
IN3-2318-D4	DA00953	IN3	2318	f	5/18/12	64	9.14	4	431	7/21/12	stool	NA	25000000	25000000	20.5	86.13445378	20120717_GF_cfu.xlsx
IN3-2318-D5	DA00953	IN3	2318	f	5/18/12	65	9.29	5	431	7/22/12	stool	25000000	63500000	63500000	20	84.03361345	20120717_GF_cfu.xlsx
IN3-2318-D6	DA00953	IN3	2318	f	5/18/12	66	9.43	6	431	7/23/12	stool	63500000	NA	NA	21.3	89.49579832	20120717_GF_cfu.xlsx
IN3-2318-D7	DA00953	IN3	2318	f	5/18/12	67	9.57	7	431	7/24/12	stool	NA	73500000	73500000	23.3	97.89915966	20120717_GF_cfu.xlsx
IN3-2318-D8	DA00953	IN3	2318	f	5/18/12	68	9.71	8	431	7/25/12	stool	73500000	320000000	320000000	21	88.23529412	20120717_GF_cfu.xlsx
IN3-2318-D9	DA00953	IN3	2318	f	5/18/12	69	9.86	9	431	7/26/12	stool	320000000	8000000	8000000	21	88.23529412	20120717_GF_cfu.xlsx
IN3-2336-D0	DA00953	IN3	2336	f	5/18/12	60	8.57	0	431	7/17/12	stool	0	0	0	22.8	100	20120717_GF_cfu.xlsx
