Number	Assay_date	Cage_Mouse	Experiment_day	Sample_source	percent_weightLoss	loss_below90	day_end	Recip_Dilution_from_DP2	Recip_Dilution_from_adding_to_cells	Recip_Dilution_from_Postion_on_PlateA	Recip_Dilution_from_Postion_on_PlateB	Average 	Log_repiricoal_dilution
301	6/26/15	CON3-NT-D3	3	stool	88.8372093	88.8372093	10	2	10	0	0	0	1
302	6/26/15	CON2-NT-D4	4	stool	90.00	NA	10	2	10	0	0	0	1
303	6/26/15	CON2-2328-D4	4	stool	100.503	NA	10	2	10	0	0	0	1
304	6/26/15	CON2-2376-D4	4	stool	91.743	NA	10	2	10	0	0	0	1
305	6/26/15	CON3-TAIL-D4	4	stool	99.00990099	NA	10	2	10	0	0	0	1
306	6/26/15	CON3-NT-D4	4	stool	88.37209302	88.37209302	10	2	10	0	0	0	1
307	6/26/15	CON3-2742-D4	4	stool	98.36065574	NA	10	2	10	0	0	0	1
308	6/26/15	CON2-NT-D7	7	stool	95.50	NA	10	2	10	0	0	0	1
309	6/26/15	CON2-2328-D7	7	stool	100.503	NA	10	2	10	0	0	0	1
310	6/26/15	CON3-TAIL-D7	7	stool	96.53465347	NA	10	2	10	0	0	0	1
311	6/26/15	CON3-NT-D7	7	stool	100	NA	10	2	10	0	0	0	1
312	6/26/15	CON2-NT-D10	10	stool	88.50	88.5	10	2	10	0	0	0	1
313	6/26/15	CON2-2328-D10	10	stool	100.503	NA	10	2	10	0	0	0	1
314	6/26/15	CON2-2376-D10	10	stool	91.743	NA	10	2	10	0	0	0	1
315	6/26/15	CON3-TAIL-D10	10	stool	99.00990099	NA	10	2	10	0	0	0	1
316	6/26/15	CON3-NT-D10	10	stool	98.60465116	NA	10	2	10	0	0	0	1
317	6/26/15	CON3-2742-D10	10	stool	103.8251366	NA	10	2	10	0	0	0	1
318	7/2/15	CON-2030-D1	1	stool	103.5714286	NA	2	2	10	0	0	0	1
319	7/2/15	CON-2651-D1	1	stool	105.988024	NA	2	2	10	0	0	0	1
320	7/2/15	CON-2674-D1	1	stool	106.547619	NA	2	2	10	0	0	0	1
321	7/2/15	CON-2657C-D2	2	cecalcon	83.83233533	83.83233533	2	2	10	10	0	5	2
322	7/2/15	CON-2674-D2	2	stool	86.30952381	86.30952381	2	2	10	0	0	0	1
323	7/2/15	CON-2674C-D2	2	cecalcon	86.30952381	86.30952381	2	2	10	0	0	0	1
324	7/2/15	CON-2030C-D2	2	cecalcon	80.35714286	80.35714286	2	2	10	0	0	0	1
325	7/2/15	N-535-D7	7	stool	90	NA	10	2	10	0	0	0	1
326	7/2/15	OUT-2096C-D3	3	cecalcon	82.26600985	82.26600985	3	2	10	10	10	10	2.301029996
327	7/2/15	N-534-D7	7	stool	105.0761421	NA	10	2	10	0	0	0	1
328	7/2/15	N-540-D7	7	stool	107.5117371	NA	10	2	10	0	0	0	1
VPI10463A	7/22/15	VPI10463	lateStationary	inVitro	NA	NA	NA	2	10	6250	31250	18750	5.574031268
VPI10463B	7/22/15	VPI10463	lateStationary	inVitro	NA	NA	NA	2	10	31250	31250	31250	5.795880017
DA431A	7/22/15	DA00431	lateStationary	inVitro	NA	NA	NA	2	10	250	250	250	3.698970004
DA431B	7/22/15	DA00431	lateStationary	inVitro	NA	NA	NA	2	10	250	50	150	3.477121255
DA299A	7/22/15	DA00299	lateStationary	inVitro	NA	NA	NA	2	10	10	10	10	2.301029996
DA299B	7/22/15	DA00299	lateStationary	inVitro	NA	NA	NA	2	10	10	10	10	2.301029996
DA395A	7/22/15	DA00395	lateStationary	inVitro	NA	NA	NA	2	10	250	250	250	3.698970004
DA395B	7/22/15	DA00395	lateStationary	inVitro	NA	NA	NA	2	10	250	250	250	3.698970004
DA458A	7/22/15	DA00458	lateStationary	inVitro	NA	NA	NA	2	10	250	250	250	3.698970004
DA458A	7/22/15	DA00458	lateStationary	inVitro	NA	NA	NA	2	10	250	250	250	3.698970004
toxinA 	7/22/15	toxinA 	1ugPERul	diluted_1to100	NA	NA	NA	2	10	50	50	50	3
